序号,新闻内容
101,12月3日-6日，中国国际大学生创新大赛（2023）总决赛在天津大学举办。我校荣获金奖7项，其中高教主赛道3项，产业命题赛道4项；银奖6项，其中高教主赛道3项，红旅赛道银奖1项，产业命题赛道2项。这是我校在此项赛事的最好成绩。
102,12月7日，生命学院召开党委会（扩大）会议，深入学习习近平总书记对宣传思想文化工作重要指示精神，专题研讨学院师德师风和师资队伍建设工作，并对近期重点工作进行研究部署。
103,12月7日，第42届全国工科研究生教育研讨会在福州大学举行，研究生院培养处副处长田蜜在会上作了题为“‘分层分类、三位一体’研究生课程体系建设探索与实践”的交流报告，介绍了我校研究生一流课程体系建设经验与成效。
104,12月7日，材料学院高水平“科研育人”新工程教育计划——“材料基因工程”举行2023级纳新宣讲暨首批“初阶通关”项目表彰。学院负责人、指导教师团队参会交流。
105,12月7日，光电学院、集成电路学院、校医院分别召开教职工代表大会暨工会会员代表大会换届选举会议，选举产生了新一届工会委员会委员和新一届教代会执行委员会委员，以及出席学校第九届教职工代表大会暨第十四届工会会员代表大会的代表；选举会议结束后，还分别召开了工会委员会和教代会委员会第一次全体会议。
106,12月7日，自动化学院“青年教师工作站”举办主题交流活动，邀请科研院副院长张希琳作了题为“自然基金相关政策宣贯与指导”的主题报告。
107,12月7日，爱尔兰利莫瑞克大学电子与计算机工程系Sean Mc Grath到软件学院洽谈合作，就学生暑期交流项目、联合培养项目等展开深入交流。国际教育学院、软件学院相关负责人参加交流。会后举行了合作项目宣讲会。
108,12月6日，电子学院联合清华大学电子工程系、浙江大学电气工程学院线上开展“服务祖国聚合力，同心奋进新征程”三校三地联合主题宣讲共建活动，三校党员代表分别作了题为“青春赛道，大道共通”“助建科技创新高地的大国重器，国家创新能力与组织建设”“以青春之我，与时代共舞”的主题党课。
109,12月6日，经管学院开展2023级新生教育讲座，邀请李睿副教授作了题为“金融学专业培养路径及未来发展”的讲座。
110,12月6日，研究生院组织相关学院辅导员前往中兴通讯成都研究所、浪潮集团四川分公司开展“访企拓岗”活动，双方就人才培养、校企合作、校园招聘等进行了深入交流。
111,12月2日-3日，由马克思主义学院，电子科技大学科技的哲学、逻辑与历史研究中心承办的全国第六届物理学哲学学术研讨会在成都召开，校党委副书记申小蓉、中国科学院院士郭光灿教授出席活动并致辞，马克思主义学院党委书记徐守仁主持开幕式，来自上海交通大学、南京大学、中国社科院大学等高校的90余位专家参会。
112,近日，四川省社科联党组副书记于丽一行到我校调研指导，校党委副书记申小蓉主持会议并致辞。会上学校汇报了文科建设、学校社科联及学术学会建设情况。双方围绕社科联、学术学会等相关工作进行深入研讨。学校社科联、省高等学校思想政治教育研究会、中共党史党建研究院及省知识经济促进会相关负责人参会并陪同参观校史馆。
113,12月3日，计算机（网安）学院本科生第三党支部、立人5班共同前往三星堆博物馆开展“追寻习近平总书记足迹 感受璀璨古蜀文明”研学活动。
114,12月3日，公管学院联合校医院开展红十字救护员培训，邀请成华区红十字会专业讲师为学院师生普及应急救护知识。
115,12月2日-3日，软件学院院长周世杰一行赴厦门参加第五届中国计算机教育大会，学院廖勇教授在新时代计算机教育课程思政分论坛作主题报告，陈佳副教授荣获计算机类教学资源建设优秀教学案例奖一等奖和优秀奖各1项。
116,12月1日-3日，由四川省教育厅主办，电子科技大学、彭州市人民政府和西华大学联合承办的的2023年四川省大学生未来飞行器挑战赛决赛在成都市（彭州）民用无人驾驶航空试验基地举行。
117,12月2日，由中央广播电视总台•央广网主办的“管理的力量”2023央广网MBA教育年度大会在北京召开。经管学院院长陈旭教授荣获2023年度商科教育领军人物，经管学院荣获2023年度MBA卓越商学院，MBA项目荣获商科教育MBA影响力新媒体奖，副院长肖延高教授受邀参加会议并参与商学院院长年度对话。
118,12月2日，芯论道——北京大学·电子科技大学集成电路学科青年学者论坛在清水河校区举行，北京大学张海霞教授作主题报告，来自两校的10位青年学者作邀请报告。北京大学集成电路学院、学校集电学院相关负责人参加活动。
119,12月2日，由大学生文化素质教育中心主办，校模拟联合国协会承办的2023年模拟联合国大会在清水河校区举行。来自四川大学、电子科技大学等高校近100名青年学子围绕全球海洋生态保护和海洋资源开发、人工智能发展与应用管理等进行了深入交流。
120,12月1日，10所中外合作办学机构联盟高校代表集体前往海南陵水黎安国际教育创新试验区参观调研，了解试验区总体规划、条件设施和对入驻高校办学支持情况。
121,12月1日，校党委书记王亚非、副校长徐红兵带队到电子科大广东电子信息工程研究院调研指导，参观了研究院科研平台和重点孵化企业，相关负责人围绕平台建设、科学研究、成果转化、人才培养等作工作汇报。深圳高研院执行院长汤志伟，学校办、产研院相关负责人参加调研。
122,12月2日，北京大学集成电路学院党委书记王源一行到访集电学院，双方党委进行基层党组织共建协议签约和授牌仪式，并围绕党建共建、人才培养、队伍建设、科研合作等进行了深入交流。
123,12月1日-2日，光电学院组织教工党支部书记及党员骨干赴重庆开展实地研学，前往白公馆、渣滓洞旧址、红岩魂陈列馆、歌乐山烈士陵园缅怀革命先烈，并邀请中共重庆市委宣传部二级巡视员、重庆红岩革命历史博物馆党委委员社会教育工作部部长周万炯讲授题为“传承红岩精神 坚定理想信念”的党课。
124,12月1日，由校研究生会主办、信通学院研究生会、材料学院研究生会共同承办的第91期银杏讲坛——“靠谱”算术均值AA融合理论、方法与技术讲座在清水河校区举行，西北工业大学李天成教授围绕算术均值融合技术及其发展现状作分享。
125,12月1日，信通学院举行学生创新创业中心大会，为“信通杯”电子设计竞赛获奖同学颁发获奖证书。
126,"12月1日，由教师发展中心主办、电子学院承办的“名师讲堂”暨电子论坛第134期，邀请新加坡科技设计大学副教务长洪礼祺教授（IEEE Fellow）作题为“IEEE NPSS
Distinguished Lecturer Talk at UESTC: Charge injection and Contact resistance
from DC to THz for 2D materials based electronics”的在线学术报告。"
127,12月1日，陕西省考古研究院孙周勇研究员做客成电讲坛（信雅系列），以“疯狂的‘石头’——陕西石峁遗址考古新发现及解读‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍”为题作分享。
128,12月1日，集电学院开展“团队芯·芯成长”系列活动，邀请北京大学集成电路学院张海霞教授作题为“做好新时代的大学教师”的分享。
