,id,title,sourceUrl,addTime
5592,700af204cdb9451cbd0c3d77f29e03d3,2019年中国大学生物理学术竞赛校内选拔赛决赛通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016aaef27ffa26b7,2019-05-13T00:00:00
5593,7af2735e92914d9cb2baa6f1205e2408,关于2019级本科培养方案修订的通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016aaff2ec3326da,2019-05-13T00:00:00
5594,60131e22ee514a52b9591dda9f8b437c,图灵奖得主雷伊•雷蒂受聘为我校名誉教授,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71228,2019-05-13T00:00:00
5595,595c59aae17748a4abaadbec9264a9c5,精品课程《科学本性与人文精神》开课,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71242,2019-05-13T00:00:00
5596,d288e171edf444f2b899806b6c4133ec,2018-2019学年勤工助学评优答辩会,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71205,2019-05-12T00:00:00
5597,79cb0a4e735f4edd9a724d99ca61af5d,【一周活动看板】5月13日-5月19日资讯集锦,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71227,2019-05-12T00:00:00
5598,631000ef2328448985055f20abebda73,我校新增第8个ESI前1%学科——“数学”学科,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71200,2019-05-12T00:00:00
5599,9a027eebf0504c6d923ddcfad1ce175e,校领导接待日聚焦学生成长成才,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71209,2019-05-12T00:00:00
5600,43b6d0a5ece44c458d48bed51f8304b1,校领导深入学生宿舍与学子交流谈心,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71230,2019-05-12T00:00:00
5601,dd665d07334b4eb4a92d3d6eef19190f,电子科技大学隆重举行2019年学生表彰大会,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71229,2019-05-12T00:00:00
5602,f259074f0e29436d85a15cdb797020fb,第一届“中国研究生机器人创新设计大赛”校内赛圆满落幕,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71212,2019-05-12T00:00:00
5603,39355ca625294885951fd1bb4d05b97c,第二届中国研究生创“芯”大赛成都地区宣讲会在我校举行,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71197,2019-05-12T00:00:00
5604,d940c4f62cc44e73a3134316ff127ecf,关于召开“课程思政”校级立项项目建设进展交流报告会的通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016aa099380a266c,2019-05-10T00:00:00
